track_popularity,playlist_name,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
66,78,0.748,6,1,0.0583,0.102,0.0,0.0653,0.518,122.036,194754.0
67,78,0.726,11,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600.0
70,78,0.675,1,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616.0
60,78,0.718,7,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093.0
69,78,0.65,1,1,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052.0
67,78,0.675,8,1,0.127,0.0799,0.0,0.143,0.585,124.982,163049.0
62,78,0.449,5,0,0.0623,0.187,0.0,0.176,0.152,112.648,187675.0
69,78,0.542,4,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619.0
68,78,0.594,8,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187.0
67,78,0.642,2,1,0.032,0.0567,0.0,0.0919,0.59,124.957,253040.0
58,78,0.679,6,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894.0
67,78,0.437,8,1,0.0554,0.148,0.0,0.133,0.329,123.125,203733.0
67,78,0.744,1,1,0.0463,0.0399,0.0,0.374,0.687,121.985,192507.0
68,78,0.572,5,0,0.0625,0.0111,0.0,0.339,0.678,123.919,164516.0
63,78,0.69,5,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238.0
66,78,0.805,0,1,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230.0
60,78,0.694,1,0,0.0948,0.0702,0.0,0.427,0.368,118.051,173548.0
65,78,0.678,10,0,0.165,0.0395,0.0,0.174,0.516,120.002,189375.0
69,78,0.746,1,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404.0
35,78,0.467,7,1,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366.0
70,78,0.572,6,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238.0
64,78,0.708,9,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667.0
62,78,0.684,4,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968.0
70,78,0.732,1,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548.0
58,78,0.62,11,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093.0
63,78,0.675,11,1,0.0434,0.104,0.0,0.33,0.468,124.933,172800.0
66,78,0.682,1,0,0.0363,0.0146,0.000834,0.0289,0.348,126.0,192381.0
8,78,0.663,1,0,0.0511,0.0325,0.0,0.333,0.397,125.996,175000.0
62,78,0.625,6,1,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875.0
30,78,0.679,1,1,0.105,0.0334,0.0,0.269,0.819,119.885,155080.0
56,78,0.641,11,1,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125.0
56,78,0.702,0,0,0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000.0
58,78,0.723,11,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097.0
60,78,0.742,0,1,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935.0
60,78,0.716,10,1,0.0533,0.108,0.0,0.163,0.351,124.975,220413.0
55,78,0.748,1,1,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273.0
59,78,0.816,5,1,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164.0
63,78,0.633,0,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360.0
67,78,0.563,2,1,0.0522,0.00522,0.0,0.0846,0.495,129.975,247385.0
55,78,0.728,11,0,0.046,0.00223,0.000317,0.101,0.681,124.019,218015.0
56,78,0.846,5,1,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444.0
87,78,0.693,8,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0
62,78,0.678,3,0,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160.0
83,78,0.67,0,1,0.295,0.252,0.33,0.117,0.68,135.055,194840.0
55,78,0.755,1,0,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466.0
61,78,0.622,5,1,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373.0
56,78,0.789,10,0,0.168,0.0538,0.0,0.221,0.41,121.956,144073.0
57,78,0.64,6,1,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861.0
56,78,0.609,5,0,0.111,0.0994,0.0,0.197,0.531,128.082,200625.0
53,78,0.64,4,0,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237.0
56,78,0.75,0,0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500.0
34,78,0.535,1,0,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719.0
74,78,0.766,6,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027.0
46,78,0.649,10,0,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968.0
63,78,0.588,3,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417.0
55,78,0.355,5,0,0.165,0.0148,0.0,0.0355,0.169,80.444,237686.0
52,78,0.542,0,0,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361.0
67,78,0.735,8,1,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048.0
63,78,0.752,6,0,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800.0
60,78,0.748,3,0,0.0385,0.0324,0.0,0.106,0.751,115.018,217043.0
45,78,0.607,7,0,0.102,0.0163,0.121,0.0725,0.501,125.984,230476.0
58,78,0.607,9,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640.0
51,78,0.679,1,0,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613.0
58,78,0.714,5,0,0.0301,0.0204,0.00615,0.334,0.292,124.015,210000.0
56,78,0.69,2,1,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869.0
60,78,0.775,4,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229.0
48,78,0.814,11,1,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861.0
56,78,0.784,8,1,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714.0
56,78,0.367,6,1,0.154,0.00515,0.0,0.0545,0.289,88.013,192653.0
65,78,0.609,6,0,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451.0
39,20,0.591,7,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653.0
83,20,0.59,7,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444.0
83,20,0.791,5,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347.0
71,20,0.564,5,1,0.0584,0.0728,0.0,0.151,0.717,97.878,165767.0
81,20,0.669,8,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072.0
85,20,0.77,8,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523.0
76,20,0.513,0,1,0.0364,0.00968,0.0,0.11,0.234,139.987,238459.0
71,20,0.72,0,1,0.208,0.0856,0.0,0.16,0.659,96.048,191612.0
65,20,0.789,5,1,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455.0
67,20,0.294,3,1,0.042,0.12,0.0,0.0977,0.357,85.332,209893.0
74,20,0.665,6,0,0.0617,0.18,0.0,0.125,0.5,101.976,228112.0
81,20,0.46,1,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396.0
71,20,0.362,1,0,0.486,0.123,0.0,0.19,0.529,172.191,180840.0
75,20,0.686,8,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634.0
73,20,0.618,11,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,210944.0
79,20,0.665,11,1,0.0578,0.423,0.0,0.0969,0.585,124.896,190932.0
74,20,0.661,6,1,0.0563,0.0253,0.0,0.123,0.605,119.927,197939.0
63,20,0.571,3,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941.0
79,20,0.591,9,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316.0
16,20,0.652,7,0,0.0361,0.29,0.0,0.073,0.472,114.043,193377.0
75,20,0.706,10,1,0.215,0.0911,0.0,0.347,0.293,107.184,201253.0
75,20,0.404,2,1,0.0496,0.198,0.0,0.114,0.112,148.036,220730.0
